"otu.1"	"otu.2"	"otu.3"	"otu.4"	"otu.5"	"otu.6"	"otu.7"	"otu.8"	"otu.9"	"otu.10"	"otu.11"	"otu.12"	"otu.13"	"otu.14"	"otu.15"	"otu.16"	"otu.17"	"otu.18"	"otu.19"	"otu.20"	"otu.21"	"otu.22"	"otu.23"	"otu.24"	"otu.25"	"otu.26"	"otu.27"	"otu.28"	"otu.29"	"otu.30"	"otu.31"	"otu.32"	"otu.33"	"otu.34"	"otu.35"	"otu.36"	"otu.37"	"otu.38"	"otu.39"	"otu.40"	"otu.41"	"otu.42"	"otu.43"	"otu.44"	"otu.45"	"otu.46"	"otu.47"	"otu.48"	"otu.49"	"otu.50"	"otu.51"	"otu.52"	"otu.53"	"otu.54"	"otu.55"	"otu.56"	"otu.57"	"otu.58"	"otu.59"	"otu.60"	"otu.61"	"otu.62"	"otu.63"	"otu.64"	"otu.65"	"otu.66"	"otu.67"	"otu.68"	"otu.69"	"otu.70"	"otu.71"	"otu.72"	"otu.73"	"otu.74"	"otu.75"	"otu.76"	"otu.77"	"otu.78"	"otu.79"	"otu.80"
"sample.11"	0	0	0	0	0	0	0	0	0	0	0	0.000344986527572681	0.000775821162107723	0.00163899528025127	0.00325274770476711	0.0060642856520503	0.0106210026209094	0.0174746295103867	0.0270089084300565	0.0392159448356893	0.0534902870403917	0.0685399477035179	0.0825028980090491	0.0932934672619035	0.0991036976984397	0.0988974465810808	0.0927122014393522	0.0816479533886246	0.0675476598180647	0.0524966882561554	0.0383274654760201	0.0262872339475903	0.0169369916816279	0.0102514253396068	0.00582892982534022	0.00311350806846635	0.00156231196570732	0.00073644805146832	0.000326116723801954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.12"	0	0	0	0	0	0	0	0	0	0	0	0	0.000341134714140387	0.000767798597102352	0.00162339912510531	0.00322448154607526	0.00601659916189032	0.0105462692988085	0.0173661372749341	0.0268635990868648	0.0390374786780444	0.0532912512696842	0.0683418404025477	0.0823330145769557	0.0931789815508467	0.0990646013702954	0.0989408479805649	0.0928302147165564	0.0818200379576298	0.0677464578961505	0.0526950844191187	0.0385043867521596	0.0264305933020455	0.0170435558524373	0.0103245254488195	0.005875388446616	0.00314094018292871	0.00157739093697286	0.000744175917695913	0.000329813537009199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.13"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000322457785922943	0.000728792385556401	0.00154736005055204	0.00308628145104084	0.00578277469763118	0.0101787303739352	0.016830907904033	0.0261443634122859	0.0381509357518496	0.0522984614221201	0.0673487012441031	0.0814753308651681	0.092593315509404	0.0988529724022187	0.0991417144491843	0.0934070619690067	0.0826722188698533	0.0687378700714917	0.0536894731903219	0.0393947917700861	0.0271547038537896	0.0175836053256021	0.0106961473832324	0.00611228258747019	0.00328122540700939	0.00165472299300066	0.000783918894917343	0.000348877979212885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000304719258244693	0.000691576809292651	0.00147447541492192	0.00295318901636992	0.00555650293747624	0.0098212880095359	0.0163076709732569	0.0254373595624039	0.0372742327013443	0.0513099971272593	0.066351670814959	0.0806043223811693	0.0919859280126649	0.0986145623913671	0.0993155619842264	0.0939615455772163	0.0835102135465448	0.0697245357807965	0.0546875243276364	0.0402946595297547	0.0278909503398615	0.0181357587159214	0.0110780862169572	0.00635697271376975	0.00342682990875497	0.00173536704146086	0.000825556376355626	0.000368942530477617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000301280427949372	0.000684342245916749	0.00146026735628144	0.00292717035241537	0.0055121396720925	0.00975099703416966	0.0162044550312795	0.0252974316059728	0.0371000953502024	0.0511128639566592	0.0661518510662079	0.0804285763035103	0.0918618856723277	0.0985636835758138	0.099347076241926	0.0940697197074899	0.0836760564815587	0.0699212451708579	0.0548875313119684	0.0404757436728698	0.0280396488721401	0.0182476482071512	0.0111557256021934	0.00640686159132723	0.00345660262486981	0.0017519034333246	0.000834117949550508	0.00037307948197376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000284612556954283	0.000649181370687006	0.00139102403785497	0.00280001150783504	0.00529470286031757	0.00940545832648063	0.0156954918390943	0.024605176815344	0.0362355323402387	0.0501301952987587	0.0651509483873921	0.0795423984853949	0.0912290636890924	0.0982933977345298	0.0994883143730378	0.0945967884844083	0.0844962251384177	0.070901401015027	0.0558893323326691	0.0413865877291386	0.028790348048916	0.0188144186832124	0.0115502474438368	0.00666113702050677	0.00360879357634802	0.00183667497934774	0.000878130725604847	0.000394405199554397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000281381988978446	0.000642347737499036	0.00137752883122027	0.00277515848865967	0.0052520817681009	0.0093375246647813	0.0155951170960937	0.0244682051377427	0.0360638576944052	0.0499342858798239	0.0649504405020117	0.0793637084964945	0.0911000049496554	0.0982361746939394	0.0995132888901286	0.0946994183928333	0.0846584160407719	0.0710967191748829	0.0560900176727153	0.0415698242424175	0.0289419237268039	0.0189292407968473	0.0116304251858499	0.00671296809301727	0.00363990600530934	0.00185405387453913	0.000887178738397943	0.000398801236079515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.18"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000265726912685654	0.000609142646334271	0.001311774138367	0.00265372379266402	0.00504323222863561	0.00900365427125174	0.0151002886329139	0.0237907581379819	0.0352117743435193	0.0489580524195646	0.0639465252886047	0.0784632627709162	0.090442460995503	0.0979343338902459	0.0996217510781925	0.095198468872955	0.0854598941594073	0.0720694707293061	0.0570948464858591	0.0424912083311158	0.0297069351435585	0.0195107161036103	0.0120377457433738	0.00697708023673073	0.00379890876505317	0.00194312439744316	0.000933681901857126	0.000421457582349595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.19"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000250825998343801	0.000577385102010774	0.00124857660447246	0.00253642139010506	0.00484043303158445	0.00867767977630435	0.0146143538485793	0.0231212980454388	0.0343638172282057	0.0479785571983437	0.0629288162048987	0.0775369181423908	0.0897478602682614	0.0975879659439142	0.0996839006566792	0.0956555947489295	0.0862287963322639	0.0730215195499287	0.0580906188975022	0.0434127938164399	0.0304779717833088	0.0201006908689125	0.0124535308618213	0.00724820742131306	0.00396301138117268	0.00203552584511343	0.00098216514375391	0.000445193698524761	0.000189570211482646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.20"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000247948253802664	0.000571236553788473	0.00123631039735883	0.00251359699089791	0.00480087467236898	0.00861393687188451	0.0145190966226476	0.0229897421903968	0.0341967789900843	0.0477851437696033	0.0627273856321023	0.0773531622128982	0.0896098091751633	0.0975190871732239	0.0996965884329359	0.0957475261707377	0.0863836243381766	0.0732136191817448	0.0582919958448646	0.0435996064842378	0.0306346419365087	0.0202208609413983	0.0125384274511724	0.00730370284108163	0.00399668309707198	0.00205453208205292	0.000992162333996921	0.000450100130562011	0.000191819227236601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.21"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000234008418680927	0.000541372234904291	0.00117656810227585	0.00240212031760683	0.00460711484032088	0.00830079931350216	0.0140497108148829	0.0223393972605501	0.0333681486915653	0.0468219360907851	0.0617196164423973	0.0764282057307026	0.08890797206287	0.0971592915957452	0.0997434922457219	0.0961925404915545	0.0871474762624193	0.0741694108884868	0.0592995556663874	0.0445384033216467	0.0314249389890818	0.0208291159461608	0.0129695177152235	0.00758635935528762	0.0041686898967111	0.00215190137760154	0.00104352229509798	0.000475376485896711	0.000203437145932916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.22"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000231308263515604	0.000535571621724688	0.00116493196093429	0.00238034638263047	0.00456915985733113	0.0082392777030356	0.0139572071441779	0.022210815376071	0.0332037453956216	0.0466300888392696	0.0615179713591521	0.0762420145416534	0.0887653184765405	0.0970842685547446	0.0997495637852943	0.09627859462064	0.0872981568110622	0.0743595924954829	0.0595011723675628	0.0447270895986899	0.0315843796239454	0.020952249514843	0.0130570647749116	0.00764393622104337	0.00420383000628603	0.0021718500226609	0.00105407402771935	0.000480583646274266	0.00020583700718143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.23"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000218231472959073	0.000507403376694727	0.0011082708667872	0.00227402416758539	0.00438329630792109	0.00793712423842968	0.0135015031414587	0.0215753405875452	0.0323884223174645	0.0456749963822574	0.0605095390622106	0.0753053380745791	0.0880408598380212	0.0966939681000227	0.099763364132127	0.0966939681000227	0.0880408598380212	0.0753053380745791	0.0605095390622106	0.0456749963822574	0.0323884223174645	0.0215753405875452	0.0135015031414587	0.00793712423842968	0.00438329630792109	0.00227402416758539	0.0011082708667872	0.000507403376694727	0.000218231472959073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.24"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00020583700718143	0.000480583646274266	0.00105407402771935	0.0021718500226609	0.00420383000628603	0.00764393622104337	0.0130570647749116	0.020952249514843	0.0315843796239454	0.0447270895986899	0.0595011723675628	0.0743595924954829	0.0872981568110622	0.09627859462064	0.0997495637852943	0.0970842685547446	0.0887653184765405	0.0762420145416534	0.0615179713591521	0.0466300888392696	0.0332037453956216	0.022210815376071	0.0139572071441779	0.0082392777030356	0.00456915985733113	0.00238034638263047	0.00116493196093429	0.000535571621724688	0.000231308263515604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.25"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000203437145932916	0.000475376485896711	0.00104352229509798	0.00215190137760154	0.0041686898967111	0.00758635935528762	0.0129695177152235	0.0208291159461608	0.0314249389890818	0.0445384033216467	0.0592995556663874	0.0741694108884868	0.0871474762624193	0.0961925404915545	0.0997434922457219	0.0971592915957452	0.08890797206287	0.0764282057307026	0.0617196164423973	0.0468219360907851	0.0333681486915653	0.0223393972605501	0.0140497108148829	0.00830079931350216	0.00460711484032088	0.00240212031760683	0.00117656810227585	0.000541372234904291	0.000234008418680927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.26"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000191819227236601	0.000450100130562011	0.000992162333996921	0.00205453208205292	0.00399668309707198	0.00730370284108163	0.0125384274511724	0.0202208609413983	0.0306346419365087	0.0435996064842378	0.0582919958448646	0.0732136191817448	0.0863836243381766	0.0957475261707377	0.0996965884329359	0.0975190871732239	0.0896098091751633	0.0773531622128982	0.0627273856321023	0.0477851437696033	0.0341967789900843	0.0229897421903968	0.0145190966226476	0.00861393687188451	0.00480087467236898	0.00251359699089791	0.00123631039735883	0.000571236553788473	0.000247948253802664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.27"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000189570211482646	0.000445193698524761	0.00098216514375391	0.00203552584511343	0.00396301138117268	0.00724820742131306	0.0124535308618213	0.0201006908689125	0.0304779717833088	0.0434127938164399	0.0580906188975022	0.0730215195499287	0.0862287963322639	0.0956555947489295	0.0996839006566792	0.0975879659439142	0.0897478602682614	0.0775369181423908	0.0629288162048987	0.0479785571983437	0.0343638172282057	0.0231212980454388	0.0146143538485793	0.00867767977630435	0.00484043303158445	0.00253642139010506	0.00124857660447246	0.000577385102010774	0.000250825998343801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.28"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000421457582349595	0.000933681901857126	0.00194312439744316	0.00379890876505317	0.00697708023673073	0.0120377457433738	0.0195107161036103	0.0297069351435585	0.0424912083311158	0.0570948464858591	0.0720694707293061	0.0854598941594073	0.095198468872955	0.0996217510781925	0.0979343338902459	0.090442460995503	0.0784632627709162	0.0639465252886047	0.0489580524195646	0.0352117743435193	0.0237907581379819	0.0151002886329139	0.00900365427125174	0.00504323222863561	0.00265372379266402	0.001311774138367	0.000609142646334271	0.000265726912685654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.29"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000398801236079515	0.000887178738397943	0.00185405387453913	0.00363990600530934	0.00671296809301727	0.0116304251858499	0.0189292407968473	0.0289419237268039	0.0415698242424175	0.0560900176727153	0.0710967191748829	0.0846584160407719	0.0946994183928333	0.0995132888901286	0.0982361746939394	0.0911000049496554	0.0793637084964945	0.0649504405020117	0.0499342858798239	0.0360638576944052	0.0244682051377427	0.0155951170960937	0.0093375246647813	0.0052520817681009	0.00277515848865967	0.00137752883122027	0.000642347737499036	0.000281381988978446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.30"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000394405199554397	0.000878130725604847	0.00183667497934774	0.00360879357634802	0.00666113702050677	0.0115502474438368	0.0188144186832124	0.028790348048916	0.0413865877291386	0.0558893323326691	0.070901401015027	0.0844962251384177	0.0945967884844083	0.0994883143730378	0.0982933977345298	0.0912290636890924	0.0795423984853949	0.0651509483873921	0.0501301952987587	0.0362355323402387	0.024605176815344	0.0156954918390943	0.00940545832648063	0.00529470286031757	0.00280001150783504	0.00139102403785497	0.000649181370687006	0.000284612556954283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.31"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00037307948197376	0.000834117949550508	0.0017519034333246	0.00345660262486981	0.00640686159132723	0.0111557256021934	0.0182476482071512	0.0280396488721401	0.0404757436728698	0.0548875313119684	0.0699212451708579	0.0836760564815587	0.0940697197074899	0.099347076241926	0.0985636835758138	0.0918618856723277	0.0804285763035103	0.0661518510662079	0.0511128639566592	0.0371000953502024	0.0252974316059728	0.0162044550312795	0.00975099703416966	0.0055121396720925	0.00292717035241537	0.00146026735628144	0.000684342245916749	0.000301280427949372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.32"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000368942530477617	0.000825556376355626	0.00173536704146086	0.00342682990875497	0.00635697271376975	0.0110780862169572	0.0181357587159214	0.0278909503398615	0.0402946595297547	0.0546875243276364	0.0697245357807965	0.0835102135465448	0.0939615455772163	0.0993155619842264	0.0986145623913671	0.0919859280126649	0.0806043223811693	0.066351670814959	0.0513099971272593	0.0372742327013443	0.0254373595624039	0.0163076709732569	0.0098212880095359	0.00555650293747624	0.00295318901636992	0.00147447541492192	0.000691576809292651	0.000304719258244693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.33"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000348877979212885	0.000783918894917343	0.00165472299300066	0.00328122540700939	0.00611228258747019	0.0106961473832324	0.0175836053256021	0.0271547038537896	0.0393947917700861	0.0536894731903219	0.0687378700714917	0.0826722188698533	0.0934070619690067	0.0991417144491843	0.0988529724022187	0.092593315509404	0.0814753308651681	0.0673487012441031	0.0522984614221201	0.0381509357518496	0.0261443634122859	0.016830907904033	0.0101787303739352	0.00578277469763118	0.00308628145104084	0.00154736005055204	0.000728792385556401	0.000322457785922943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.34"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000329813537009199	0.000744175917695913	0.00157739093697286	0.00314094018292871	0.005875388446616	0.0103245254488195	0.0170435558524373	0.0264305933020455	0.0385043867521596	0.0526950844191187	0.0677464578961505	0.0818200379576298	0.0928302147165564	0.0989408479805649	0.0990646013702954	0.0931789815508467	0.0823330145769557	0.0683418404025477	0.0532912512696842	0.0390374786780444	0.0268635990868648	0.0173661372749341	0.0105462692988085	0.00601659916189032	0.00322448154607526	0.00162339912510531	0.000767798597102352	0.000341134714140387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.35"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000326116723801954	0.00073644805146832	0.00156231196570732	0.00311350806846635	0.00582892982534022	0.0102514253396068	0.0169369916816279	0.0262872339475903	0.0383274654760201	0.0524966882561554	0.0675476598180647	0.0816479533886246	0.0927122014393522	0.0988974465810808	0.0991036976984397	0.0932934672619035	0.0825028980090491	0.0685399477035179	0.0534902870403917	0.0392159448356893	0.0270089084300565	0.0174746295103867	0.0106210026209094	0.0060642856520503	0.00325274770476711	0.00163899528025127	0.000775821162107723	0.000344986527572681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
